Language	English	Français	italiano	Deutsche	español	日本	Português	عربى	한국어	Русский	中文(简)	中文(繁)	Polski	Dutch	Предреформенный русскій
Soul Bind	Soul Bind	Lien d'âme	Vincolo dell'Anima	Seelenbindung	Enlace del alma	ソウルバインド	Ligação de Alma	ربط الروح	영혼결속	Связывание души	灵魂束缚	靈魂束縛	Spętanie Duszy	Ziel binden	Связываніе души
spell_soul_bind	Entities connected with Soul Bind split the damage that they receive	Les entités connectées à Soul Bind partagent les dégâts qu'elles reçoivent	Le entità connesse con Soul Bind dividono il danno che ricevono	Mit Seelenbindung verbundene Wesen teilen den Schaden, den sie erleiden, auf	Las entidades conectadas con Soul Bind dividen el daño que reciben	ソウルバインド に接続されているエンティティは、受けるダメージを分割します。	Entidades ligadas ao Soul Bind dividem o dano que recebem	تقوم الكيانات المرتبطة بـ ربط الروح بتقسيم الضرر الذي تتلقاه	영혼결속와 연결된 개체는 자신이 받는 피해를 분할합니다.	Сущности, связанные с Soul Bind, разделяют получаемый ими урон.	与灵魂束缚相关的实体会分担所受到的伤害	與靈魂束縛相關的實體會分擔所受到的傷害	Istoty powiązane Spętaniem Duszy dzielą otrzymywane obrażenia	Entiteiten die verbonden zijn met Soul Bind verdelen de schade die ze ontvangen	Существа, связанныя съ Связываніемъ души, раздѣляютъ получаемый ими уронъ.
Shatter	Shatter	Briser	Frantumare	Zerschmettern	Romper	粉砕	Quebrar	تتحطم	파편	Разбить	粉碎	粉碎	Roztrzaskanie	Stukslaan	Разбить
spell_shatter	Shatters the ice surrounding a frozen unit, dealing 🍞 damage to it and all units nearby. Stackable to increase damage. 	Brise la glace entourant une unité gelée, lui infligeant 🍞 dégâts ainsi qu'à toutes les unités proches. Empilable pour augmenter les dégâts. 	Frantuma il ghiaccio che circonda un'unità congelata, infliggendo 🍞 danni a essa e a tutte le unità vicine. Impilabile per aumentare i danni.	Zerschmettert das Eis, das eine gefrorene Einheit umgibt, und fügt ihr und allen Einheiten in der Nähe 🍞 Schaden zu. Stapelbar, um den Schaden zu erhöhen.	Rompe el hielo que rodea a una unidad congelada, lo que le inflige 🍞 daño a ella y a todas las unidades cercanas. Apilable para aumentar el daño.	凍結したユニットの周囲の氷を粉砕し、そのユニットと近くのすべてのユニットに 🍞 ダメージを与えます。重ねてダメージを増やすことができます。	Quebra o gelo ao redor de uma unidade congelada, causando 🍞 de dano a ela e a todas as unidades próximas. Empilhável para aumentar o dano. 	يحطم الجليد المحيط بوحدة متجمدة، ويسبب 🍞 الضرر لها ولجميع الوحدات المجاورة. قابلة للتكديس لزيادة الضرر	얼어붙은 유닛 주변의 얼음을 깨뜨려 해당 유닛과 근처의 모든 유닛에게 🍞 피해를 입힙니다. 중첩 가능하여 데미지가 증가합니다. 	Разбивает лед вокруг замороженного юнита, нанося 🍞 урона ему и всем юнитам поблизости. Штабелируется для увеличения урона. 	粉碎被冻结的单位周围的冰层，对其及其附近的所有单位造成 🍞 伤害。可堆叠以增加伤害。	粉碎被凍結的單位周圍的冰層，對其及其附近的所有單位造成 🍞 傷害。可堆疊以增加傷害。	Rozbija lód otaczający zamrożoną jednostkę, zadając 🍞 obrażenia jej i wszystkim pobliskim jednostkom. Można użyć wielokrotnie w celu zwiększenia obrażeń. 	Verbrijzelt het ijs rondom een ​​bevroren eenheid, waardoor 🍞 schade wordt aangericht aan de eenheid en aan alle eenheden in de buurt. Stapelbaar om de schade te vergroten. 	Разбиваетъ ледъ вокругъ замороженнаго единицы, нанося 🍞 урона ему и всѣмъ единицамъ поблизости. Слагается для увеличенія урона.
Recall	Recall	Rappel	Richiamare	Abrufen	Regresar	戻ってくる	Voltar	العودة إلى المنزل	돌아와	Вернись	回来	回來	Powrót	Terugkomen	Вернись
spell_recall	Create a mark on the ground. If the mark already exists, teleport the target to the mark.	Créez une marque au sol. Si la marque existe déjà, téléportez la cible vers la marque.	Crea un segno sul terreno. Se il marchio esiste già, teletrasporta il bersaglio sul marchio.	Markieren Sie den Boden. Wenn die Markierung bereits vorhanden ist, teleportieren Sie das Ziel zur Markierung.	Crea una marca en el suelo. Si la marca ya existe, teletransporta al objetivo a la marca.	地面にマークを作成します。マークがすでに存在する場合は、ターゲットをマークにテレポートします。	Crie uma marca no chão. Se a marca já existir, teletransporte o alvo para a marca.	إنشاء علامة على الأرض. إذا كانت العلامة موجودة بالفعل، فقم بنقل الهدف إلى العلامة.	바닥에 표시를 만듭니다. 표시가 이미 존재하는 경우 대상을 표시로 순간 이동합니다.	Сделайте отметку на земле. Если метка уже существует, телепортируйте цель к ней.	在地面上创建一个标记。如果该标记已存在，则将目标传送到该标记。	在地面上建立一個標記。如果該標記已存在，則將目標傳送到該標記。	Utwórz znak na ziemi. Jeśli znak już istnieje, teleportujesz się do tego znaku.	Maak een markering op de grond. Als het merkteken al bestaat, teleporteer je het doelwit naar het merkteken.	Сдѣлать отмѣтку на землѣ. Ежели отмѣтка уже есть, переносъ цѣль къ ней.
Meteor	Meteor	Météore	Meteora	Meteorit	Meteorito	流星	Meteoro	نيزك	유성	Метеор	流星	流星	Meteor	Meteoor	Метеоръ
spell_meteor	Summon a meteor from the sky that deals 🍞 splash damage.	Invoquez un météore depuis le ciel qui inflige des dégâts de zone.	Evoca una meteora dal cielo che infligge danni da schizzi.	Beschwöre einen Meteorit vom Himmel, der Flächenschaden verursacht.	Invoca un meteoro del cielo que causa daño por salpicadura.	空から流星を召喚し、スプラッシュダメージを与えます。	Evoca um meteoro do céu que causa dano espalhado.	قم باستدعاء نيزك من السماء والذي يتسبب في ضرر تناثر السوائل.	스플래시 데미지를 주는 유성을 하늘에서 소환합니다.	Призовите метеор с неба, который нанесет урон от брызг.	从天上召唤一颗流星，造成溅射伤害。	從天上召喚一顆流星，造成濺射傷害。	Przywołaj z nieba meteor, który zadaje obrażenia w obszarze.	Roep een meteoor uit de lucht op die spatschade aanricht.	Призвать метеоръ съ небесъ, что нанесетъ уронъ отъ брызгъ.
Execute	Execute	Exécuter	Eseguire	die Hinrichtung	Ejecutar	実行	Execução Mortal	إعدام الموت	죽음의 처형	смертная казнь	死刑执行	死刑執行	Egzekucja	Dood executie	Смертная казнь
spell_execute	Instantly kill units below 🍞 health if you are within melee range.	Tuez instantanément les unités en dessous de 🍞 points de vie si vous êtes à portée de mêlée.	Uccidi istantaneamente le unità con meno di 🍞 salute se ti trovi nel raggio di mischia.	Töte sofort Einheiten mit weniger als 🍞 Leben, wenn du dich in Nahkampfreichweite befindest.	Mata instantáneamente unidades con menos de 🍞 salud si estás dentro del alcance cuerpo a cuerpo.	近接攻撃範囲内にいる場合、体力 🍞 を下回るユニットを即座に殺害します。	Mate instantaneamente unidades com menos de 🍞 saúde se você estiver dentro do alcance corpo a corpo.	اقتل على الفور الوحدات الموجودة أسفل 🍞 الصحة إذا كنت ضمن نطاق المشاجرة.	근접 범위 내에 있는 경우 체력이 🍞 미만인 유닛을 즉시 처치합니다.	Мгновенно убивайте юнитов со здоровьем ниже 🍞, если вы находитесь в пределах досягаемости ближнего боя.	如果您处于近战范围内，请立即杀死生命值低于 🍞 的单位。	如果您處於近戰範圍內，請立即殺死生命值低於 🍞 的單位。	Natychmiast zabijaj jednostki poniżej 🍞 zdrowia. Musisz być bardzo blisko celu.	Dood eenheden onder 🍞 gezondheid onmiddellijk als je binnen het slagbereik bent.	Мгновенно убивайте единицы со здоровьемъ ниже 🍞, ежели вы въ предѣлахъ досягаемости ближняго боя.
Empower	Empower	Habiliter	Potenziare	Stärken	Fortalecer	力を与える	Empoderamento	يقوي	강하게 하다	укреплять	加强	加強	Wzmocnienie	Versterken	Укрѣплять
spell_empower	Increase NPC target's damage by 🍞. Does not affect players.	Augmentez les dégâts du PNJ cible de 🍞. N'affecte pas les joueurs.	Aumenta il danno del bersaglio NPC di 🍞. Non influisce sui giocatori.	Erhöhe den Schaden des NPC-Ziels um 🍞. Betrifft keine Spieler.	Aumenta el daño del objetivo NPC en 🍞. No afecta a los jugadores.	NPCターゲットのダメージを🍞増加させます。プレイヤーには影響しません。	Aumente o dano do alvo do NPC em 🍞. Não afeta os jogadores.	قم بزيادة ضرر هدف NPC بمقدار 🍞. لا يؤثر على اللاعبين.	NPC 대상의 데미지를 🍞 늘립니다. 플레이어에게 영향을 미치지 않습니다.	Увеличьте урон цели NPC на 🍞. Не влияет на игроков.	使 NPC 目标的伤害增加🍞。不影响玩家。	使 NPC 目標的傷害增加🍞。不影響玩家。	Zwiększ obrażenia celu NPC o 🍞. Nie ma wpływu na graczy.	Verhoog de schade van het NPC-doelwit met 🍞. Heeft geen invloed op spelers.	Увеличить уронъ цѣли NPC на 🍞. Не вліяетъ на игроковъ.
Enfeeble	Enfeeble	Affaiblir	Rendi debole	Schwach machen	Disminuir el poder	弱い	Enfraquecido	ضعيف	약해짐	слабый	衰弱	衰弱	Osłabienie	Zwak	Слабый
spell_enfeeble	Decrease target's damage by 🍞	Réduisez les dégâts de la cible de 🍞	Diminuisci il danno del bersaglio di 🍞	Reduziere den Schaden des Ziels um 🍞	Disminuye el daño del objetivo en 🍞	ターゲットのダメージを🍞減少させる	Diminui o dano do alvo em 🍞	قم بتقليل ضرر الهدف بمقدار 🍞	대상의 데미지를 🍞 감소시킵니다.	Уменьшить урон цели на 🍞.	减少目标伤害 🍞	減少目標傷害 🍞	Zmniejsz siłę celu o 🍞	Verlaag de schade van het doelwit met 🍞	Уменьшить уронъ цѣли на 🍞.
Alchemize	Alchemize	Alchimiser	Alchimizzare	Alchemisieren	Alquimizar	アルケマイズ	Alquimizar	الخيمياء	연금술	Алхимизировать	炼金术	煉金術	Eksperyment	Alchemiseer	Алхимизировать
spell_alchemize	Convert targeted potions into different potions.	Convertissez les potions ciblées en différentes potions.	Converti pozioni mirate in pozioni diverse.	Wandeln Sie gezielte Tränke in verschiedene Tränke um.	Convierte pociones específicas en pociones diferentes.	対象のポーションを別のポーションに変換します。	Converta poções específicas em poções diferentes.	تحويل الجرعات المستهدفة إلى جرعات مختلفة.	대상 물약을 다른 물약으로 변환합니다.	Преобразуйте целевые зелья в другие зелья.	将目标药水转换成不同的药水。	將目標藥水轉換成不同的藥水。	Zamień wybrane mikstury na inne mikstury.	Converteer gerichte drankjes in verschillende drankjes.	Преобразовать цѣлевыя зелья въ иныя зелья.
Polymorph	Polymorph	Polymorphe	Polimorfo	Verändern	Polimorfo	ポリモーフ	Polimorfo	متعدد الأشكال	다형체	Полиморф	多晶型物	多晶型物	Transformacja	Polymorf	Полиморфъ
spell_plymorph	Transform a targeted unit into another unit.  There is a higher probability that it will be transformed into a unit near its power level than one further from its power level.	Transformez une unité ciblée en une autre unité. Il y a une plus grande probabilité qu'il soit transformé en une unité proche de son niveau de puissance plutôt qu'en une unité plus éloignée de son niveau de puissance.	Trasforma un'unità mirata in un'altra unità. C'è una probabilità maggiore che venga trasformata in un'unità vicina al suo livello di potenza piuttosto che in un'unità più lontana dal suo livello di potenza.	Verwandeln Sie eine Zieleinheit in eine andere Einheit. Es besteht eine höhere Wahrscheinlichkeit, dass es sich in eine Einheit in der Nähe seines Machtniveaus verwandelt als in eine Einheit, die weiter von seinem Machtniveau entfernt ist.	Transforma una unidad objetivo en otra unidad. Hay una mayor probabilidad de que se transforme en una unidad cerca de su nivel de poder que en una más lejos de su nivel de poder.	対象のユニットを別のユニットに変身させる。パワー レベルから 1 つ離れたユニットよりも、そのパワー レベルに近いユニットに変換される可能性が高くなります。	Transforme uma unidade alvo em outra unidade. Há uma probabilidade maior de que ele seja transformado em uma unidade próxima ao seu nível de potência do que em uma unidade mais distante do seu nível de potência.	تحويل الوحدة المستهدفة إلى وحدة أخرى. هناك احتمال أكبر أن تتحول إلى وحدة قريبة من مستوى قوتها أكثر من وحدة أبعد عن مستوى قوتها.	대상 유닛을 다른 유닛으로 변환합니다.	Превратите выбранный отряд в другой отряд. Существует более высокая вероятность того, что он будет преобразован в отряд, близкий к его уровню мощности, чем в отряд, расположенный дальше от его уровня мощности.	将目标单位转变为另一个单位。它转变为接近其力量水平的单位的可能性比远离其力量水平的单位更高。	多晶型將目標單位轉變為另一個單位。它轉變為接近其力量水平的單位的可能性比遠離其力量水平的單位更高。	Przekształć wybraną jednostkę w inną jednostkę. Istnieje większe prawdopodobieństwo, że zostanie ona przekształcona w jednostkę o podobnej sile, niż w dużo silniejszą/słabszą jednostkę.	Transformeer een beoogde eenheid in een andere eenheid. De kans is groter dat het zal worden getransformeerd in een eenheid die dichtbij zijn vermogensniveau ligt dan in een eenheid verder van zijn vermogensniveau.	Превратить избранный отрядъ въ другой отрядъ. Вѣроятнѣе, что онъ будетъ преобразованъ въ отрядъ, близкій къ его уровню силы, нежели въ отрядъ, далѣе отъ его уровня силы.
Merge	Merge	Fusionner	Unisci	Verschmelzen	Unir	マージ	Mesclar	دمج	병합	Объединить	合并	合併	Jedność	Samenvoegen	Слить
spell_merge	Combine targeted units of the same type to form a single, stronger unit.	Combinez des unités ciblées du même type pour former une seule unité plus forte.	Combina unità mirate dello stesso tipo per formare un unica unità più forte.	Kombiniere anvisierte Einheiten desselben Typs zu einer einzigen, stärkeren Einheit.	Combina unidades objetivo del mismo tipo para formar una unidad única y más fuerte.	同じタイプのターゲットユニットを組み合わせて、単一のより強力なユニットを形成します。	Combine unidades alvo do mesmo tipo para formar uma unidade única e mais forte.	اجمع الوحدات المستهدفة من نفس النوع لتكوين وحدة واحدة أقوى.	동일한 유형의 대상 유닛을 결합하여 더욱 강력한 단일 유닛을 형성합니다.	Объедините целевые отряды одного типа, чтобы сформировать один, более сильный отряд.	将相同类型的目标单位组合起来，形成一个更强大的单位。	將相同類型的目標單位組合起來，形成一個更強大的單位。	Połącz wybrane jednostki tego samego typu, aby stworzyć jedną, silniejszą jednostkę.	Combineer gerichte eenheden van hetzelfde type om één enkele, sterkere eenheid te vormen.	Слить цѣлевыя отряды одного вида, дабы образовать одинъ, болѣе сильный отрядъ.
spell_dark_tide	Prevent SUBMERGED targets from moving for 1 turn	Empêcher les cibles SUBMERGÉES de bouger pendant 1 tour	Impedisci ai bersagli SOMMERSI di muoversi per 1 turno	Verhindern Sie 1 Runde lang, dass sich UNTERWASSER-Ziele bewegen	Evita que los objetivos SUBACUÁTICOS se muevan durante 1 turno.	水没したターゲットの移動を1ターン阻止	Impedir que alvos SUBMERGADOS se movam por 1 turno	منع الأهداف المغمورة من التحرك لدورة واحدة	1턴 동안 물에 잠긴 대상의 이동을 방지합니다.	Не позволяйте ПОДВОДНЫМ целям двигаться в течение 1 хода.	阻止淹没目标移动 1 回合	阻止淹沒目標移動 1 回合	Uniemożliwiaj celom PODWODNYM poruszanie się przez 1 turę	Voorkom dat ONDERGEDOMPELDE doelen 1 beurt lang bewegen	Не дозволять ПОДВОДНЫМъ цѣлямъ двигаться въ теченіе 1 хода.
spell_blood_bath	Deal 🍞 damage to all SUBMERGED units (even if they are not targeted)	Infliger 🍞 dégâts à toutes les unités SUBMERGÉES (même si elles ne sont pas ciblées)	Causa 🍞 danni a tutte le unità SOMMERSE (anche se non sono prese di mira)	Füge allen untergetauchten Einheiten 🍞 Schaden zu (auch wenn sie nicht als Ziel ausgewählt wurden)	Inflige 🍞 daño a todas las unidades SUMERGIDAS (incluso si no son objetivo)	水没したユニットすべてに🍞ダメージを与える(ターゲットにされていない場合も含む)	Causa 🍞 dano a todas as unidades SUBMERSAS (mesmo que não sejam o alvo)	ألحق 🍞 الضرر بجميع الوحدات الغارقة (حتى لو لم تكن مستهدفة)	잠수된 모든 유닛에 🍞 피해를 줍니다(대상이 아니더라도).	Нанесите 🍞 урон всем ПОДВОДНЫМ юнитам (даже если они не являются целью).	对所有淹没单位造成 🍞 伤害（即使它们不是目标）	對所有淹沒單位造成 🍞 傷害（即使它們不是目標）	Zadaj 🍞 obrażenia wszystkim ZANURZONYM jednostkom (nawet jeśli nie są one celem)	Breng 🍞 schade aan aan alle ONDERGEDOMPELDE eenheden (zelfs als ze niet het doelwit zijn)	Нанести 🍞 урона всѣмъ ПОДВОДНЫМъ единицамъ (даже ежели они не цѣль).
spell_polymorph	Change the target into a different entity of the same kind.	Changez la cible en une entité différente du même type.	Cambia il bersaglio in un'entità diversa dello stesso tipo.	Ändern Sie das Ziel in eine andere Entität derselben Art.	Cambie el objetivo a una entidad diferente del mismo tipo.	ターゲットを同じ種類の別のエンティティに変更します。	Mude o alvo para uma entidade diferente do mesmo tipo.	تغيير الهدف إلى كيان مختلف من نفس النوع.	대상을 같은 종류의 다른 개체로 변경합니다.	Измените цель на другую сущность того же типа.	将目标更改为同类的不同实体。	將目標更改為同類的不同實體。	Zmień cel na inny obiekt tego samego rodzaju.	Verander het doelwit in een andere entiteit van dezelfde soort.	Измѣнить цѣль на иную сущность того же вида.
Timemason	Timemason	Maçon du temps	Mago del tempo	Zeitassistent	Asistente del reloj	タイムウィザード	Mago do tempo	معالج الوقت	시간 마법사	Мастер времени	时间向导	時間嚮導	Czarodziej Czasu	Tijd tovenaar	Повелитель времени
Far Gazer	Far Gazer	Regard lointain	Lungo raggio	Langstrecken	De largo alcance	長距離	Longo alcance	عيون بعيدة	장거리	Дальняя дистанция	长距离	長距離	Daleki zasięg	Langeafstand	Дальная дистанція
Dark Tide	Dark Tide	La marée noire	Marea scura	Dunkle Flut	Marea Oscura	暗い潮	aguas oscuras	المد المظلم	암흑의 조류	Темный прилив	暗潮	暗潮	Ciemna fala	Donker tij	Темный приливъ
Blood Bath	Blood Bath	Bain de sang	Bagno di sangue	Blutbad	baño de sangre	ブラッドバス	Banho de Sangue	حمام الدم	피목욕	Кровавая баня	血浴	血浴	Krwawa kąpiel	Bloed in het water	Кровавая баня
goru description	Nearly dead himself, Goru is able to resurrect allies, explode corpses, or consume them to strengthen himself.  He is also able to self-ressurect once.	Cette momie est capable de ressusciter des alliés, de faire exploser des cadavres ou de les consommer pour se renforcer. Il est également capable de se ressusciter une fois.	Questa mummia è in grado di resuscitare gli alleati, far esplodere i cadaveri o consumarli per rafforzarsi. È anche in grado di rianimarsi una volta.	Diese Mumie ist in der Lage, Verbündete wiederzubeleben, Leichen explodieren zu lassen oder sie zu verzehren, um sich zu stärken. Er ist auch in der Lage, sich einmal wiederzubeleben.	Esta momia es capaz de resucitar aliados, hacer explotar cadáveres o consumirlos para fortalecerse. También puede resucitarse a sí mismo una vez.	このミイラは、味方を復活させたり、死体を爆発させたり、それらを消費して自分自身を強化したりすることができます。彼は死後に一度生き返る	Esta múmia é capaz de ressuscitar aliados, explodir cadáveres ou consumi-los para se fortalecer. Ele também é capaz de se ressuscitar uma vez.	هذه المومياء قادرة على إحياء الحلفاء أو تفجير الجثث أو استهلاكها لتقوية نفسها. كما أنه قادر على بعث نفسه مرة واحدة.	이 미라는 아군을 부활시키거나, 시체를 폭발시키거나, 먹어치워 자신을 강화할 수 있습니다. 그는 또한 한 번 자신을 부활시킬 수 있습니다.	Эта мумия способна воскрешать союзников, взрывать трупы или поглощать их, чтобы усилить себя. Он также способен один раз воскресить себя.	这具木乃伊能够复活盟友、引爆尸体或吞噬他们来增强自己。他也能够复活自己一次。	這具木乃伊能夠復活盟友、引爆屍體或吞噬他們來增強自己。他也能夠復活自己一次。	Ta mumia jest w stanie wskrzeszać sojuszników, eksplodować zwłoki lub pochłaniać je, aby się wzmocnić. Potrafi też raz się wskrzesić.	Deze mummie kan bondgenoten weer tot leven wekken, lijken laten exploderen of ze consumeren om zichzelf te versterken. Hij is ook in staat zichzelf een keer te herbronnen.	Сія мумия способна воскрешать союзниковъ, взрывать тѣла или поглощать ихъ, дабы усилить себя. Она также способна единожды воскресить себя.
undying	Undying	Ranimer	Rianimare	Wiederbeleben	Reanimar	リバイバル	Reviver	اعادة احياء	부활	Оживить	复活	復活	Wskrzesić	Herleven	Оживить
There is a previous save file with this name, are you sure you want to overwrite it?	There is a previous save file with this name, are you sure you want to overwrite it?	Il existe un fichier de sauvegarde précédent portant ce nom, êtes-vous sûr de vouloir l'écraser ?	Esiste un file di salvataggio precedente con questo nome. Sei sicuro di volerlo sovrascrivere?	Es gibt bereits eine gespeicherte Datei mit diesem Namen. Sind Sie sicher, dass Sie diese überschreiben möchten?	Hay un archivo guardado anterior con este nombre, ¿está seguro de que desea sobrescribirlo?	この名前の以前の保存ファイルがあります。上書きしてもよろしいですか?	Existe um arquivo salvo anterior com este nome. Tem certeza de que deseja substituí-lo?	يوجد ملف حفظ سابق بهذا الاسم، هل أنت متأكد من أنك تريد الكتابة فوقه؟	이 이름을 가진 이전 저장 파일이 있습니다. 덮어쓰시겠습니까?	Существует предыдущий файл сохранения с таким именем. Вы уверены, что хотите его перезаписать?	之前有一个同名的保存文件，您确定要覆盖它吗？	之前有一個同名的保存文件，您確定要覆蓋它嗎？	Istnieje poprzedni plik zapisu o tej nazwie. Czy na pewno chcesz go zastąpić?	Er is een eerder opgeslagen bestand met deze naam. Weet u zeker dat u dit wilt overschrijven?	Есть прежній файлъ сохраненія съ такимъ именемъ. Увѣрены ли вы, что желаете его переписать?
Yes, Overwrite it	Yes, Overwrite it	Oui, écrasez-le	Sì, sovrascrivilo	Ja, überschreiben	Sí, sobrescríbelo	はい、上書きします	Sim, sobrescrever	نعم، الكتابة فوقه	예, 덮어씁니다	Да, перезаписать	是的，覆盖它	是的，覆蓋它	Tak, nadpisz to	Ja, overschrijf het	Да, переписать
Name your save file	Name your save file	Nommez votre fichier de sauvegarde	Assegna un nome al file di salvataggio	Benennen Sie Ihre Sicherungsdatei	Ponle un nombre a tu archivo guardado	保存ファイルに名前を付けます	Nomeie seu arquivo salvo	قم بتسمية ملف الحفظ الخاص بك	저장 파일 이름 지정	Назовите свой файл сохранения	为您的保存文件命名	為您的儲存檔案命名	Nazwij swój plik zapisu	Geef uw opslagbestand een naam	Назови свой файлъ сохраненія
Save Cancelled	Save Cancelled	Sauvegarde annulée	Salvataggio annullato	Speichern abgebrochen	Guardar Cancelado	保存がキャンセルされました	Salvar cancelado	حفظ ملغى	저장이 취소되었습니다.	Сохранить отменено	保存已取消	儲存已取消	Zapisz Anulowano	Opslaan Geannuleerd	Сохраненіе отмѣнено
Potion Shatter	Potion Shatter	Brise-potion	Frantumazione di pozioni	Trank zerschmettern	romper la poción	ポーションを壊す	Quebre a poção	تحطيم الجرعة	물약을 깨세요	Разбейте зелье	打破药水	打破藥水	rozbić eliksir	Breek het drankje	Разбить зелье
common	common	commun	comune	häufig	común	一般	comum	شائع	흔한	общий	常见的	常見的	wspólny	gewoon	Общій
special	special	spécial	speciale	speziell	especial	特別	especial	مميز	특별한	особенный	特别的	特別的	specjalny	speciaal	Особенный
uncommon	uncommon	peu fréquent	non comune	ungewöhnlich	poco común	珍しい	incomum	غير مألوف	드문	необычный	罕见	罕見	niezwykły	ongewoon	Необычный
rare	rare	rare	raro	selten	extraño	レア	excepcional	نادر	희귀한	редкий	稀有的	稀有的	rzadki	zeldzaam	Рѣдкій
forbidden	forbidden	ultra rare	estremamente raro	sehr selten	ultra raro	ウルトラ・レア	Ultra raro	نادر جدا	매우 희귀함	ультра редкий	超稀有	超稀有	bardzo rzadki	uiterst zeldzaam	Ультра рѣдкій
spell_clone_2	Clones each target.  Clones are added as a target to following spells.	Clone chaque cible.  Les clones sont ajoutés comme cibles aux sorts suivants.	Clona ciascun bersaglio.  I cloni vengono aggiunti come bersaglio agli incantesimi successivi.	Klont jedes Ziel.  Klone werden als Ziel für folgende Zaubersprüche hinzugefügt.	Clona cada objetivo.  Los clones se añaden como objetivo de los siguientes hechizos.	各ターゲットのクローンを作成します。  クローンは次の呪文の対象として追加されます。	Clona cada alvo.  Clones são adicionados como alvo aos feitiços seguintes.	استنساخ كل هدف.  تتم إضافة النسخ كهدف للتعاويذ التالية.	각 대상을 복제합니다.  클론은 다음 주문의 대상으로 추가됩니다.	Клонирует каждую цель.  Клоны добавляются в качестве цели к следующим заклинаниям.	克隆每个目标。  克隆体将作为目标添加到以下法术中。	克隆每個目標。  克隆體將作為目標添加到以下法術。	Klonuje każdy cel.  Klony są dodawane jako cel następujących zaklęć.	Kloont elk doel.  Klonen worden als doelwit toegevoegd aan volgende spreuken.	Клонируетъ каждую цѣль. Клоны добавляются въ качествѣ цѣли къ слѣдующимъ заклятиямъ.
revitalize_description	Increases incoming healing	Augmente les soins reçus	Aumenta le cure in arrivo	Erhöht eingehende Heilung	Aumenta la curación recibida	受ける治癒を増加させる	Aumenta a cura recebida	يزيد الشفاء الوارد	받는 치유량 증가	Увеличивает входящее исцеление.	增加收到的治疗效果	增加受到的治療量	Zwiększa otrzymywane leczenie	Verhoogt binnenkomende genezing	Увеличиваетъ входящее исцѣленіе.
rune_thorns_description	Deals damage back to the attacker when hurt	Inflige des dégâts à l'attaquant lorsqu'il est blessé.	Ritorna danno all'attaccante quando ferito.	Fügt dem Angreifer Schaden zu, wenn man verletzt wird.	Devuelve daño al atacante cuando es herido.	攻撃を受けた際に、攻撃者にダメージを返す	Causa dano de volta ao atacante quando ferido.	يُعيد الضرر إلى المعتدي عند الإصابة	피해를 입으면 공격자에게 피해를 돌려줍니다.	Возвращает урон нападающему при получении повреждений.	受到伤害时反击攻击者造成伤害	受到傷害時將傷害反彈給攻擊者	Zadaje obrażenia z powrotem napastnikowi, gdy zostaje zranny.	Doet schade terug aan de aanvaller wanneer verwond.	Возвращаетъ уронъ нападающему при полученіи поврежденій.
rune_affinity_blessing	Blessing spells cost less mana	Les sorts de bénédiction coûtent moins de mana.	Gli incantesimi di benedizione costano meno mana.	Segenzauber kosten weniger Mana.	Los hechizos de bendición cuestan menos maná.	祝福の呪文は魔力が少なくて済む。	Feitiços de bênção custam menos mana.	تعاويذ البركة تكلف مانا أقل	축복 마법은 마나 소모가 적다.	Заклинания благословения стоят меньше маны.	祝福法术消耗更少的法力值	祝福法術耗費的法力更少	Zaklęcia błogosławieństw kosztują mniej many.	Zegeningen kosten minder mana.	Заклятія благословенія стоятъ меньше эѳира.
rune_affinity_curse	Curse spells cost less mana	Les sorts de malédiction coûtent moins de mana.	Le magie di maledizione costano meno mana.	Fluchzauber kosten weniger Mana.	Los hechizos de maldición cuestan menos maná.	呪いの魔法はより少ないマナで発動できる	Feitiços de maldição custam menos mana.	تكاليف تعويذات اللعنة أقل من المانا	저주 마법은 더 적은 마나를 소모합니다.	Заклинания проклятия стоят меньше маны.	诅咒法术消耗更少的法力。	詛咒法術消耗的法力更少	Czary klątwowe kosztują mniej many.	Vloek spreuken kosten minder mana	Заклятія проклятія стоятъ меньше эѳира.
rune_affinity_damage	Damage spells cost less mana	Les sorts de dégâts coûtent moins de mana.	Gli incantesimi di danno costano meno mana.	Schadenzauber kosten weniger Mana.	Los hechizos de daño cuestan menos maná.	ダメージ魔法の消費マナが減少する	Feitiços de dano custam menos mana	تتطلب تعويذات الضرر مانا أقل	데미지 마법의 마나 소모량이 줄어듭니다.	Заклинания урона стоят меньше маны.	伤害法术消耗更少的法力值	傷害法術耗費更少的法力	Zaklęcia obrażeń kosztują mniej many.	Schade-spellen kosten minder mana	Заклятія урона стоятъ меньше эѳира.
rune_affinity_movement	Movement spells cost less mana	Les sorts de mouvement coûtent moins de mana.	Gli incantesimi di movimento costano meno mana.	Bewegungszauber kosten weniger Mana.	Los hechizos de movimiento cuestan menos maná.	移動魔法のコストはより少ないマナです。	Feitiços de movimento custam menos mana.	تعاويذ الحركة تكلف مانا أقل	이동 주문의 마나 소모가 줄어듭니다.	Заклинания перемещения требуют меньше маны.	移动法术消耗更少的法力值	移動法術消耗的法力更少	Zaklęcia ruchu kosztują mniej many.	Beweegspreuken kosten minder mana	Заклятія передвиженія требуютъ меньше эѳира.
